  0.00000000 	   0.00000000 	   0.00000000 
 50.00000000 	  -1.21753873 	  -1.71419475 
 99.57162487 	  -2.68519468 	  -3.65305587 
148.53908140 	  -4.45043781 	  -5.85901738 
196.66137898 	  -6.56208631 	  -8.38083113 
243.62760847 	  -9.06238255 	 -11.27075385 
289.07679359 	 -11.97429714 	 -14.57841489 
332.65847412 	 -15.28670853 	 -18.34165892 
374.12995920 	 -18.94465782 	 -22.57738040 
413.44854467 	 -22.85243261 	 -27.27698662 
450.80275317 	 -26.88983857 	 -32.40862127 
486.56588148 	 -30.93308634 	 -37.92359428 
521.20724204 	 -34.87099078 	 -43.76285644 
555.20740402 	 -38.61328896 	 -49.86147777 
589.00026226 	 -42.09292755 	 -56.15142944 
622.94164543 	 -45.26526143 	 -62.56368934 
657.29504513 	 -48.10615329 	 -69.03037963 
692.22471355 	 -50.60992341 	 -75.48718520 
727.78733908 	 -52.78759398 	 -81.87604840 
763.91051841 	 -54.66588737 	 -88.14815498 
800.33103974 	 -56.28798052 	 -94.26757380 
836.40560534 	 -57.71864256 	 -100.21666601 
870.41545329 	 -59.06138380 	 -106.00332966 
896.10517776 	 -60.50110685 	 -111.60995719 
899.33630820 	 -61.29194049 	 -114.09075532 
892.33857087 	 -62.02444817 	 -115.95808529 
859.77697143 	 -63.08100376 	 -118.01657131 
839.75245917 	 -63.45132140 	 -118.59177137 
829.28729581 	 -63.61005642 	 -118.81851960 
818.60245435 	 -63.75423477 	 -119.01481473 
796.72972239 	 -64.00551918 	 -119.33597384 
751.64026037 	 -64.39153504 	 -119.78003614 
705.47498818 	 -64.66053690 	 -120.05461035 
658.67160939 	 -64.84018507 	 -120.21991543 
611.46742526 	 -64.94683491 	 -120.30757313 
564.00905442 	 -64.99068060 	 -120.33570687 
516.39734515 	 -64.97816722 	 -120.31531763 
468.70883800 	 -64.91323423 	 -120.25334215 
421.00754248 	 -64.79799114 	 -120.15428844 
373.35247842 	 -64.63308235 	 -120.02122129 
325.80356944 	 -64.41785633 	 -119.85646569 
278.42750780 	 -64.15038396 	 -119.66225017 
231.30515014 	 -63.82732397 	 -119.44148833 
184.54277115 	 -63.44358184 	 -119.19897307 
138.29176268 	 -62.99162022 	 -118.94349783 
 92.78743620 	 -62.46008617 	 -118.69204502 
 48.43520221 	 -61.83094242 	 -118.47890674 
  6.03017526 	 -61.07302098 	 -118.37783246 
-13.93415375 	 -60.62936380 	 -118.41618563 
-32.55688845 	 -60.12798042 	 -118.56160363 
-49.11451916 	 -59.55289874 	 -118.87654740 
-62.45349119 	 -58.88578474 	 -119.45200265 
-63.14530084 	 -58.84078216 	 -119.49892597 
-63.81837017 	 -58.79537224 	 -119.54728736 
-65.10695313 	 -58.70332714 	 -119.64840808 
-67.44516562 	 -58.51433817 	 -119.86875662 
-69.45008306 	 -58.31892331 	 -120.11396222 
-71.10938147 	 -58.11725346 	 -120.38454512 
-72.41741729 	 -57.90956409 	 -120.68056762 
-73.37589102 	 -57.69612269 	 -121.00163903 
-73.99374869 	 -57.47719056 	 -121.34696949 
-74.28635359 	 -57.25298583 	 -121.71546094 
-73.98067145 	 -56.78909665 	 -122.51692014 
-73.73667700 	 -56.66999082 	 -122.72956726 
-73.43218252 	 -56.54959367 	 -122.94681523 
-72.65476541 	 -56.30482673 	 -123.39449325 
-70.51458665 	 -55.79849897 	 -124.33853727 
-64.51563503 	 -54.70842620 	 -126.39558671 
-49.13579142 	 -52.10927823 	 -131.06375356 
-40.96721210 	 -50.53261859 	 -133.63215561 
-32.87944042 	 -48.72068168 	 -136.34175299 
-17.29010617 	 -44.23356106 	 -142.13257535 
 -2.07755514 	 -38.36371082 	 -148.26391087 
 14.77608310 	 -30.94181009 	 -154.46315660 
 37.76287031 	 -22.28261029 	 -160.33848781 
 53.44976759 	 -17.97517809 	 -162.98630307 
 72.29290447 	 -14.12830766 	 -165.36586028 
 93.54664141 	 -10.96486772 	 -167.47307197 
116.24735888 	  -8.47359365 	 -169.35655612 
163.64995778 	  -4.97417134 	 -172.68322090 
212.06686231 	  -2.69156193 	 -175.65961463 
260.89249018 	  -1.08722904 	 -178.42581927 
309.95292907 	   0.11048850 	 -181.04075799 
359.18809132 	   1.04698384 	 -183.53193523 
408.57226904 	   1.80592575 	 -185.91389324 
458.09126536 	   2.43857118 	 -188.19542116 
507.73499766 	   2.97797268 	 -190.38260811 
557.49493265 	   3.44635841 	 -192.48022522 
607.36318682 	   3.85920796 	 -194.49237978 
657.33223569 	   4.22762379 	 -196.42283125 
707.39484837 	   4.55977334 	 -198.27514288 
757.54409937 	   4.86179942 	 -200.05275101 
807.77340006 	   5.13841368 	 -201.75899300 
858.07652736 	   5.39329429 	 -203.39711473 
908.44764274 	   5.62935895 	 -204.97026866 
958.88130030 	   5.84895621 	 -206.48150826 
1009.37244521 	   6.05400218 	 -207.93378174 
1059.91640467 	   6.24607971 	 -209.32992661 
1110.50887314 	   6.42651159 	 -210.67266561 
1161.14589399 	   6.59641513 	 -211.96460433 
1211.82383868 	   6.75674356 	 -213.20823017 
1262.53938487 	   6.90831760 	 -214.40591289 
1313.28949422 	   7.05184994 	 -215.55990608 
1364.07139040 	   7.18796437 	 -216.67234974 
1414.88253798 	   7.31721078 	 -217.74527344 
